rec-id,gender,given-name,surname,postcode,city,telephone-number,credit-card-number,income-normal,age-uniform,income,age,sex,blood-pressure
,katlyn,krzyszton,missing,sydne,07 8159 5895,6125 1775 0375 3987,22855.98,120,9121.3,6,na,81.457
male,katelyn,krzyszton,2604,sydney,07 8159 5895,6125 1775 0375 3987,22855.98,120,9121.3,56,na,81.457
,taylor-saige,scolberg,2906,perth,,7017 6052 3240 8941,37917.95,3,201419.5,98,f,78.934
male,taylor-jaige,skolberg,2905,peeth,,7017 6052 32440 8941,37917.95,3,201419.5,89,f,78.934
male,taylor-saige,scholberg,2905,perth,03 8193 2840,7017 6052 3240 8941,37917.95,3,201419.5,89,f,78.934
male,izapella,touris,2903,sysmy,,6379 6542 3668 5188,96328.91,112,47285.9,2,f,78.269
,isamella,dsoris,290e,sydney,07 6667 5322,6379 6542 3668 5188,96328.91,112,47285.9,2,f,78.269
male,jabe|la,dsouris,290e,zydndy,,6379 6542 3668 5188,96328.91,112,47285.9,24,f,78.269
male,isabella,tsouris,2903,sydney,07 6667 5322,6379 6542 3668 5188,96328.91,112,47285.9,24,f,78.269
,caresse,mvztolino,missihg,csnber4a,,4235 6120 5596 9327,36770.93,60,49829.2,90,m,74.647
,caresse,mustolino,2902,,,4235 6120 5596 9327,36770.93,60,49829.2,09,m,74.647
,carezse,mustolino,2902,canberra,,4235 6120 556 9327,36770.93,60,49829.2,90,m,74.647
,caresse,mustolino,29o2,kanberea,,4235 6120 5596 9327,36770.93,60,49829.2,90,m,74.647
female,caresse,musolino,2902,canberra,07 8698 8165,4235 6120 5596 9327,36770.93,60,49829.2,90,m,74.647
female,mikhaili,maclucas,2607,brisbane,02 6090 4063,9566 1971 0278 8173,63913.70,22,56125.3,62,m,72.236
male,jade,desaro,2611,sydney,04 9485 3556,8559 9568 8734 8287,5042.88,18,65411.3,43,na,74.714
male,b'lanca,herbert,2613,melpourne,,7513 5380 37982 4597,53679.48,25,74188.2,77,na,76.555
,bianka,herberd,2611,melbourn,,7513 5380 3798 4597,53679.48,25,74188.2,77,na,76.555
,biancks,her1>erd,2611,melpouahne,,7513 5380 3798 4597,53679.48,25,74188.2,77,na,76.555
,bianca,hahbert,26qq,melboxurne,07 8012 5858,7513 5380 3798 4597,53679.48,25,74188.2,47,na,76.555
,pianca,heahbert,2612,melbourne,07 8012 5858,7513 5380 3798 4597,53679.48,25,74188.2,7,na,76.555
male,bianca,herbert,2611,melbourne,07 8012 5858,7513 5380 3798 4597,53679.48,25,74188.2,77,na,76.555
female,zara,milburn,2617,perth,07 4038 6576,8969 2742 6449 2261,32196.91,31,88927.6,17,m,79.958
female,bjayne,grin,missing,hobardt,,4775 1701 0496 2521,50628.17,5,91641.4,77,f,74.075
female,jayme,green,2611,hobart,03 6577 2510,4775 1701 0496 2521,50628.17,5,91641.4,77,f,74.075
male,taea,gearhman,29o3,melbourne,,9486 78187 9662 2765,36449.41,43,50580.7,20,na,79.994
,tara,gearman,2902,melbo7rne,,9486 78887 662  2765,36449.41,43,50580.7,20,na,79.994
,dara,gearman,2903,melbourhe,,94863 78187 9662 2765,36449.41,43,50580.7,20,na,79.994
,dara,gearmam,2903,melpouanne,,9486 7887 9662 2765,36449.41,43,50580.7,20,na,79.994
male,tara,gearman,2903,melbourne,04 2467 6728,9486 7887 9662 2765,36449.41,43,50580.7,20,na,79.994
,yvynlay,windulkch,2615,perth,,7760 2452 84893 6380,52161.39,73,100385.0,91,f,77.557
male,fyynlai,wintulich,2617,perth,,7760 24522 8483 6380,52161.39,73,100385.0,96,f,77.557
,fyynlai,windulic,2615,perth,,7760 252 8483 6380,52161.39,73,100385.0,91,f,77.557
,fyynjav,winduoich,2615,perth,04 6989 2785,7760 2452 80483 6380,52161.39,73,100385.0,19,f,77.557
male,fyynlay,wintulich,2615,perth,04 6989 2785,7760 2452 8483 6380,52161.39,73,100385.0,91,f,77.557
